UID          PID    PPID  C STIME TTY          TIME CMD
root         558       1  0 15:03 ?        00:00:00 /usr/libexec/switcheroo-control
root         566       1  0 15:03 ?        00:00:00 /lib/systemd/systemd-logind
root         567       1  0 15:03 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         568       1  0 15:03 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        582     531  0 15:03 ?        00:00:00 avahi-daemon: chroot helper
root         612       2  0 15:03 ?        00:00:00 [kworker/3:4-pm]
root         614       1  0 15:03 ?        00:00:00 /usr/sbin/cupsd -l
root         627       1  0 15:03 ?        00:00:00 /usr/sbin/ModemManager
root         644       1  0 15:03 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         663       1  0 15:03 ?        00:00:00 /usr/sbin/gdm3
root         691       1  0 15:03 ?        00:00:00 /usr/sbin/cups-browsed
kernoops     707       1  0 15:03 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     718       1  0 15:03 ?        00:00:00 /usr/sbin/kerneloops
rtkit        762       1  0 15:03 ?        00:00:00 /usr/libexec/rtkit-daemon
root         940       1  0 15:03 ?        00:00:00 /usr/libexec/upowerd
root         950       1  0 15:03 ?        00:00:00 /usr/libexec/packagekitd
colord      1130       1  0 15:03 ?        00:00:00 /usr/libexec/colord
root        1590     663  0 15:03 ?        00:00:00 gdm-session-worker [pam/gdm-password]
montymi     1603       1  0 15:03 ?        00:00:00 /lib/systemd/systemd --user
montymi     1604    1603  0 15:03 ?        00:00:00 (sd-pam)
montymi     1610    1603  0 15:03 ?        00:00:00 /usr/bin/pipewire
montymi     1611    1603  0 15:03 ?        00:00:00 /usr/bin/pipewire-media-session
montymi     1612    1603  0 15:03 ?        00:00:01 /usr/bin/pulseaudio --daemonize=no --log-target=journal
montymi     1622    1603  0 15:03 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
montymi     1623       1  0 15:03 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
montymi     1630    1603  0 15:03 ?        00:00:00 /usr/libexec/gvfsd
montymi     1640    1603  0 15:03 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
montymi     1643    1590  0 15:03 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
montymi     1660    1603  0 15:03 ?        00:00:00 /usr/libexec/xdg-document-portal
montymi     1663    1643  0 15:03 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
montymi     1672    1603  0 15:03 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1679    1660  0 15:03 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
montymi     1753    1603  0 15:03 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
montymi     1841    1603  0 15:03 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
montymi     1893    1841  0 15:03 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
montymi     1902    1893  0 15:03 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
montymi     1905    1603  4 15:03 ?        00:01:14 /usr/bin/gnome-shell
montymi     1934    1603  0 15:03 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
montymi     1940    1603  0 15:03 ?        00:00:00 /usr/libexec/evolution-source-registry
montymi     1944    1603  0 15:03 ?        00:00:00 /usr/libexec/dconf-service
montymi     1949    1603  0 15:03 ?        00:00:00 /usr/libexec/goa-daemon
montymi     1950    1603  0 15:03 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
montymi     1960    1603  0 15:03 ?        00:00:00 /usr/libexec/evolution-calendar-factory
montymi     1962    1603  0 15:03 ?        00:00:00 /usr/libexec/goa-identity-service
montymi     1965    1603  0 15:03 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
montymi     1976    1603  0 15:03 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
montymi     1980    1603  0 15:03 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
montymi     1984    1603  0 15:03 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
montymi     1994    1603  0 15:03 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
montymi     1997    1603  0 15:03 ?        00:00:00 /usr/libexec/gvfsd-metadata
montymi     2013    1630  0 15:03 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
montymi     2023    1603  0 15:03 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
montymi     2025    1603  0 15:03 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
montymi     2039    1603  0 15:03 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
montymi     2040    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-a11y-settings
montymi     2042    2039  0 15:03 ?        00:00:03 /usr/bin/ibus-daemon --panel disable
montymi     2043    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-color
montymi     2045    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-datetime
montymi     2052    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-housekeeping
montymi     2053    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-keyboard
montymi     2054    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-media-keys
montymi     2055    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-power
montymi     2056    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-print-notifications
montymi     2057    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-rfkill
montymi     2060    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
montymi     2061    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-sharing
montymi     2062    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-smartcard
montymi     2068    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-sound
montymi     2070    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-wacom
montymi     2125    1841  0 15:03 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
montymi     2127    1841  0 15:03 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
montymi     2159    1603  0 15:03 ?        00:00:00 /usr/libexec/gsd-printer
montymi     2181    2042  0 15:03 ?        00:00:00 /usr/libexec/ibus-memconf
montymi     2182    2042  0 15:03 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
montymi     2189    1603  0 15:03 ?        00:00:00 /usr/libexec/ibus-portal
montymi     2238    2042  0 15:03 ?        00:00:01 /usr/libexec/ibus-engine-simple
montymi     2254    1603  0 15:03 ?        00:00:00 /usr/libexec/xdg-desktop-portal
montymi     2259    1603  0 15:03 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
montymi     2261    1603  0 15:03 ?        00:00:01 /usr/libexec/tracker-miner-fs-3
montymi     2274    1603  0 15:03 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
montymi     2293    1603  0 15:03 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
montymi     2466    2293  0 15:03 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
montymi     2474    1905  0 15:03 ?        00:00:02 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1280:800:1:27:0:70:0:0
montymi     2488    1603  0 15:03 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
root        2509       1  0 15:03 ?        00:00:00 /usr/libexec/ubuntu-advantage-desktop-daemon
root        2611       2  0 15:04 ?        00:00:00 [kworker/0:4-cgroup_destroy]
montymi     2695    1841  0 15:04 ?        00:00:00 update-notifier
montymi     2734    1603  0 15:04 ?        00:00:00 /usr/bin/ubuntu-report service
montymi     2777    1603  0 15:05 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
montymi     2778    1603  0 15:05 ?        00:00:00 /usr/bin/seahorse --gapplication-service
root        3024       2  0 15:08 ?        00:00:00 [kworker/0:2H-kblockd]
montymi     3029    1623  0 15:08 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
root        3088       2  0 15:13 ?        00:00:00 [kworker/u8:0-events_unbound]
root        3117       2  0 15:16 ?        00:00:00 [kworker/u8:1-events_power_efficient]
root        3128       2  0 15:17 ?        00:00:00 [kworker/1:0-events]
root        3133       2  0 15:17 ?        00:00:00 [kworker/0:0-events]
root        3140       2  0 15:17 ?        00:00:00 [kworker/2:1]
montymi     3162    1603  0 15:18 ?        00:00:03 /usr/libexec/gnome-terminal-server
montymi     3222    3162  0 15:18 pts/0    00:00:00 bash
montymi     4214    1905  0 15:26 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.EG29G2 -listen 4 -listen 5 -displayfd 6 -initfd 7
montymi     4218    1603  0 15:26 ?        00:00:00 /usr/libexec/gsd-xsettings
montymi     4245    1603  0 15:26 ?        00:00:00 /usr/libexec/ibus-x11
montymi     4701    3222  0 15:29 pts/0    00:00:00 ps -ef
